Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AutomationTestSuite1,Chrome 63.0.3239.132,,2018-01-19 15:57:36,2018-01-19 15:59:24,1m - 48.944s,FAILED
,,,,,,
Test Cases/TC01,Chrome 63.0.3239.132,,2018-01-19 15:57:36,2018-01-19 15:58:11,35.463s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(HRM_Login_Creds).getRowNumbers(), (row++)])",Chrome 63.0.3239.132,,2018-01-19 15:57:36,2018-01-19 15:58:11,34.925s,PASSED
,,,,,,
Test Cases/TC02,Chrome 63.0.3239.132,,2018-01-19 15:58:11,2018-01-19 15:58:33,21.903s,PASSED
Statement - row = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 63.0.3239.132,,2018-01-19 15:58:12,2018-01-19 15:58:12,0.000s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(New Test Data for Test Case).getRowNumbers(), (row++)])",Chrome 63.0.3239.132,,2018-01-19 15:58:12,2018-01-19 15:58:18,6.482s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-19 15:58:18,2018-01-19 15:58:18,0.135s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-19 15:58:18,2018-01-19 15:58:29,11.135s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-19 15:58:29,2018-01-19 15:58:30,0.167s,PASSED
setText,Chrome 63.0.3239.132,,2018-01-19 15:58:30,2018-01-19 15:58:33,3.738s,PASSED
,,,,,,
Test Cases/TC03,Chrome 63.0.3239.132,,2018-01-19 15:58:33,2018-01-19 15:59:24,50.332s,FAILED
openBrowser,Chrome 63.0.3239.132,,2018-01-19 15:58:34,2018-01-19 15:58:37,3.268s,PASSED
navigateToUrl,Chrome 63.0.3239.132,,2018-01-19 15:58:37,2018-01-19 15:58:48,11.141s,PASSED
click,Chrome 63.0.3239.132,,2018-01-19 15:58:48,2018-01-19 15:58:48,0.308s,PASSED
mouseOver,Chrome 63.0.3239.132,,2018-01-19 15:58:48,2018-01-19 15:59:24,35.428s,FAILED
