Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MobileTestSuite,,,2018-01-18 18:36:51,2018-01-18 18:39:26,2m - 34.291s,FAILED
,,,,,,
Test Cases/TC04,,,2018-01-18 18:36:52,2018-01-18 18:39:21,2m - 29.056s,FAILED
startApplication,,,2018-01-18 18:36:53,2018-01-18 18:38:49,1m - 55.561s,PASSED
tap,,,2018-01-18 18:38:49,2018-01-18 18:38:51,2.461s,PASSED
hideKeyboard,,,2018-01-18 18:38:51,2018-01-18 18:38:54,2.625s,PASSED
setText,,,2018-01-18 18:38:54,2018-01-18 18:39:03,9.628s,PASSED
tap,,,2018-01-18 18:39:03,2018-01-18 18:39:07,4.217s,PASSED
hideKeyboard,,,2018-01-18 18:39:07,2018-01-18 18:39:10,2.172s,PASSED
setText,,,2018-01-18 18:39:10,2018-01-18 18:39:18,8.028s,PASSED
tap,,,2018-01-18 18:39:18,2018-01-18 18:39:21,2.872s,PASSED
verifyElementText,,,2018-01-18 18:39:21,2018-01-18 18:39:21,0.511s,FAILED
